THEME I,THEME II,THEME III,Strategy
SEARCH (HIERARCHY NETWORK),,,I tried to identify the best I could then drill down to find the best result. It was very tough though.
REPRESENTATIVE IMAGES,,,got to the category and then looked at pictures to try to decide
HUMAN KNOWLEDGE,SEARCH,,"First, I tried to guess what it was with a good degree of certainty. If that didn't work, I search for keywords (e.g. color (black), environment (desert)), and if that didn't work I tried to narrow down what group the animal or scene belonged to."
HUMAN KNOWLEDGE,SEARCH,,I tried to figure out what I thought it was at first and then narrow it down with the options available in the search
SEARCH,,,"I'm sick today, so I didn't do as well as I might have. I tried to look at the categories and the pictures to find a match."
REPRESENTATIVE IMAGES,,,I went through the different images in the search function to find the closest looking image to what was shown for me to identify. I also used my knowledge to identify what was in the image.
SEARCH (BY KEYWORD),,,"Tried my best at seeing what the image was, put in a keyword and then looked at the pictures given to see if I could find it"
SEARCH (HIERARCHY NETWORK),,,"Unless I was certain, I used the chart by putting in what I thought it might be and following the chart, sometimes backing up to the very beginning."
HUMAN KNOWLEDGE,,,Did my best to figure out what in the world this was.
SEARCH (BY KEYWORD),,,I thought tree of options was the most helpful to use. First I tried to think of the general category of what was shown in the picture then use the tree to check the possibilities. I compared the choices to what was shown in the image until I found one that looked most like the image.
SEARCH,,,"When the object was something that could be categorized more specifically I would use the branching out search function, like the different dog breeds. If the item was straightforward, like the harmonica, it was easier just to type in the exact name of it then click on it in the search function."
SEARCH,,,I just searched what I believed each thing to be. There were a few that I just had no idea.
HUMAN KNOWLEDGE,SEARCH,,"If the image was immediately discernable, I would type out the word and click it. If it was questionable, I would type the general category (such as snake), then look at the images to find the best match. Some images could not be identified, so I guessed based on the color."
REPRESENTATIVE IMAGES,,,I went thru and eliminated what I thought it was.
SEARCH,,,I used the search if I didn't know a specific breed or what it was called.
REPRESENTATIVE IMAGES,,,Looking at the pictures
UNINFORMATIVE,,,
HUMAN KNOWLEDGE,SEARCH,,"I simply tried to be as accurate as I possibly could when making classifications, and when I was stumped, I made my best possible guess using the search results provided."
SEARCH,REPRESENTATIVE IMAGES,,Some images were clear and i tried to search and find the closest match. Other images were not so clear and i had to guess what they were and find a similar item in the search
SEARCH (BY KEYWORD),,,most of the words I would use weren't even in the database.
SEARCH (BY KEYWORD),,,"I tried to do a generic name of the object, but I needed to be more specific. Sometimes I thought it was a certain object, but the word was not in the database."
HUMAN KNOWLEDGE,,,"all guessing, the pictures were hard to see for me."
SEARCH,REPRESENTATIVE IMAGES,,I tried to make out what the image was if it wasn't clear. I searched for categories and when through the choices that best fit and tried to base it off the images.
SEARCH,REPRESENTATIVE IMAGES,,I used the tree system to try to find the answer by guessing what the image was and then going through the pictures of the options I had available. Then I picked the one I thought was closest. It made it difficult for guesses of dogs and things like that because the pictures provided to guess from weren't always clear and a lot of dog breeds have similar features especially when categorized on similarities like they are in the tree.
HUMAN KNOWLEDGE,SEARCH,,I just went with my best guess then used the search for something in the vicinity of it. As I familiarized myself with the tree/branching I did use some category keywords in some searches to get in the ballpark of what I was trying to find.
HUMAN KNOWLEDGE,REPRESENTATIVE IMAGES,,"I tried to look up everything, but the pictures were not matching, so I had to guess on several."
SEARCH (BY KEYWORD),,,I just guessed the keywords for a lot of them and tried comparing each as best I could.
SEARCH (BY KEYWORD),,,"I tried to identify either the item itself or something close to it. For example, I was looking for oral syringe or something under medicine administration. The closest I found was syringe, so I entered it. It was correct."
HUMAN KNOWLEDGE,SEARCH,,I tried to identify what each image was. If I wasn't sure I would guess. I would then use the hierarchy to narrow my search and look at each image to match what I thought was in the image.
COLOR & SURROUNDINGS,,,I tried to look at the image COLOR and and the COLOR of the the animal or object in the photo and search for them based on what I knew had those COLOR. I also tried to search for object based on surrounding information in the photos like environment and determined the likely hood of whether or not the object or animal usually occupies that environment
HUMAN KNOWLEDGE,,,I tried to rely on my knowledge of animals
SEARCH (BY KEYWORD),,,Whenever I had an idea of what something might be I would type in the most general vocabulary to use the library and narrow it down based off the options inside the categories.
HUMAN KNOWLEDGE,REPRESENTATIVE IMAGES,,"I tried to guess as closely as I could to what the images might be, which was difficult because many of the images were blurred unnecessarily, so I simply guess something so as to not waste time. Some of the terminology used for the images was not familiar to me, so once again, I  also tried to simply guess as closely as i could. Altogether, after placing a generalized guess, I tried to pinpoint an exact match. Lastly, I also performed online searches of the images in a few cases, in order to try and find alternate pictures that might help me to pinpoint my guess in order to allow it to be more exact. This worked once or twice."
SEARCH (BY KEYWORD),,,I used the second option and typed in the answer and digram that leads to the answer
HUMAN KNOWLEDGE,REPRESENTATIVE IMAGES,,"I got too many dogs, of different breads which I was by no means an expert on, so I had to guess. Even with so many images on hand. Most of the rest seemed trivial. I didn't really have a particular strategy other than goggling other results."
SEARCH,REPRESENTATIVE IMAGES,,"I looked for identifiable features that i could search, and then used the reference images to get more specific results"
HUMAN KNOWLEDGE,COLOR & SURROUNDINGS,SEARCH (BY KEYWORD),"sometimes it was as simple as having a clear image and using my preexisting knowledge to identify it (like a Polar bear). When the image had noise or filters, the process was finding its outline, color, and surroundings to build a context. Then I used keywords and the imageNet Tree to search for the closest guess."
SEARCH (BY KEYWORD),,,I tried to find keywords and then a picture when searching that best fit the picture I was identifying
SEARCH (HIERARCHY NETWORK),,,"For some of them, I recognized at least a type or category to go from. I went back to the most generic terminology I could think of, and utilized the ""search tree"" to narrow down the results. There were a couple, however, that were (in my opinion) completely unrecognizable so I just guessed."
SEARCH (BY KEYWORD),REPRESENTATIVE IMAGES,,"I would search what I think is roughly the right answer, as in dog or lizard, etc.. I then would use the tree tool and scan through looking for pictures that looked as close as possible."
SEARCH (BY KEYWORD),REPRESENTATIVE IMAGES,,I entered the most general term into the search I could imagine that still accurately represented what I thought the thing was (if I could ever discern anything at all) and then scrolled through the representative pictures in the hierarchy until I found something that looked as similar as possible to the thing in the image. This worked better for the live organisms than for static objects.
SEARCH,,,"I tried to discern what was the main focus and search what came up, if nothing was I would go on to the next object and then on."
SEARCH (HIERARCHY NETWORK),,,"I would think of the broadest term to describe the object then, search that word to narrow down the object."
REPRESENTATIVE IMAGES,,,doing my best to find what the image could be. Scrolling over options to see if the pictures were similiar
