SEARCH (BY AI LABEL),THEME II,THEME III,Strategy
HUMAN-AI COMPARISON,TRUST AI (RANKING OR CONFIDENCE),,"I first looked at the percentage probability that the AI had for the selected image answer.  Then I searched the path of the AI image and looked at the other options in the category.  If I doubted the AI answer, I did search inquiry on what I thought it might be and then looked at available images in the path of possible choices.  If the AI probability was low, I felt better choosing an object I felt was correct.  On images that were difficult to see, I took best guess after researching alternatives."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,HUMAN-AI COMPARISON,AI ADVICE WHEN HARD,"I first tried to identify it to the furthest extent of my own knowledge and discernment, whereafter I would consult the AI if the aforementioned did not avail me. If the object was immediately unknown to me, then likewise I would immediately use the AI's suggestion. At times, I would deem the AI to be close to the mark but not quite, and I would thus use the AI's categorization as a starting point."
SEARCH (BY KEYWORD),SEARCH (BY AI LABEL),AI ADVICE WHEN HARD,"Sometimes the AI was just way off, so I just searched for what I thought it was and found the closest item. If the AI was close, I would click it, and scroll through the images in the same or nearby hierarchies. If I had a feeling the AI was wrong, but I couldn't confidently figure out what the object was, in these cases, I just went with the AI prediction."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,SEARCH,,I looked to see if the AI matched it if not I tried to find what the picture was.
HUMAN-AI COMPARISON,,,"My strategy was that I first looked at the AI's prediction to see if I thought it was correct or was a close match. If I thought the label matched the image I went with the AI's label, and if I thought the label was close but not an exact match to the image I looked for similar related labels to the one that was predicted. If I thought the AI prediction was completely wrong I just made my best guess of what the image label should be."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,I used the AI mostly when I was really unsure about the image.
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,"If I knew the answer, I did not use assistance. If I could not tell, I went with what the AI said."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,REPRESENTATIVE IMAGES,,I used the AI as a basis and checked how many choices there were for me to choose from. I looked through the choices the AI gave and decided on whichever one I thought looked closest to the image on the left.
SEARCH (HIERARCHY NETWORK),,,I used the words and categories to look what other labels are available
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,TRUST AI (RANKING OR CONFIDENCE),DISAPPOINTED AT AI,"I first tried to decide on what I thought the image on the left was on my own. Usually, I was confident in what I thought I saw and would then check that against the AI prediction. It normally just served to reinforce my beliefs and I ignored it when they conflicted, as the AI was usually clearly wrong with a very low confidence (sub 20%). In cases where I was unsure, I would usually go with the AI if it had any confidence at all (50% or higher)."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,,,I tried to make sure the AI was correct by studying the image really well
AI ADVICE 1ST & HUMAN CONFIRM 2ND,,,I used the AI for the most part. Unless something was obviously wrong.
AI ADVICE 1ST & HUMAN CONFIRM 2ND,SEARCH (BY AI LABEL),REPRESENTATIVE IMAGES,"The AI's prediction was certainly helpful, especially on ones that I didn't really know much about. My strategy was to first look at the image to be identified to see if I could tell what it was. Then I looked at the AI's prediction to see if it matched what I was thinking. If it did match, I just clicked on the second image. If it didn't match, I searched and looked around the tree to see if I could figure it out. Some of them had to just be best guesses, as the images were quite blurry and distorted."
HUMAN-AI COMPARISON,REPRESENTATIVE IMAGES,SEARCH (BY AI LABEL),"Sometimes the ai image looked exactly like the image and was obviously correct. That helped differentiate from similar objects (like the wolf spider was clearly a wolf spider, so I didn't have to guess what sort of spider). Sometimes it was clearly wrong, and then I was on my own, but sometimes it helped get me an idea of at least what sort of item I might bee looking at."
SEARCH (BY AI LABEL),COLOR & SURROUNDINGS,,"I looked carefully at the AI's prediction but then compared it with all of the images in the subcategories. I compared things such as color, shape, other identifying factors such as spots,"
TRUST AI PREDICTION(S),TRUST AI (RANKING OR CONFIDENCE),,"I just tried to picture it as best I could, but if the AI prediction was kind of high I'd go with the AI."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,SEARCH (BY KEYWORD),,"When the AI was way off the mark, I started my own searches, knowing that the images were going to be image of reptiles and invertebrates. When the AI seemed close to the blurred image, I looked at images in the other sub-category that might be closer before deciding which label to go with.

I'm really puzzled that the entry that showed a drafting table found that label ""Not to be found"" in the label database. I ended up choosing "" safe"" because there was a safe in the picture, but that answer was incorrect. I do knoe that it certainly wasn't a pool table, which is what the AI suggested."
HUMAN KNOWLEDGE,TRUST AI PREDICTION(S),,"Unless I knew exactly what the picture was (computer mouse, Dobermann dog), I pretty much went with the AI's predictions. I figured it was more in tune with this entire process than I am, so I was more inclined to believe it than my own thought of what the picture was."
SEARCH (BY AI LABEL),SEARCH (HIERARCHY NETWORK),,"If I had no idea what it was, I would click on the AI prediction and then look at all the pictures available that were in the same set as the AI prediction, and sometimes I would go back a subset or two.  If I had no idea and could not find something similar to the picture I had to identify, I would end up going with the AI prediction."
UNINFORMATIVE,,,When I thought they were right I chose what they -Icked
HUMAN-AI COMPARISON,,,I primarily collaborated with the AI unless it obviously looked incorrect.
SEARCH (BY AI LABEL),SEARCH (HIERARCHY NETWORK),,Sometimes it was obviously what the AI said it was. Other times it seemed close but not the same so I would open the image and go through the tree backwards trying to find the correct object if I was unsure just by looking at it.
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,TRUST AI (RANKING OR CONFIDENCE),,"I mostly tried to come up with an independent prediction first, before looking at the AI's best prediction. But I was mostly unable to do so because I didn't know the names of a lot of the entities depicted, or couldn't tell what they were. I thought even the lower-percentage guesses of the AI often were better than what I'd have been able to come up with on my own, and so often went with the suggestion given. Where I strongly disagreed (e.g., pig versus black bear), I think I mostly went ahead with my own idea."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,SEARCH (BY DROPDOWN),,"I checked the image for the AI predicted label and then if it matched, I labeled it what the AI suggested. If not, I used the drop down tags to find something similar under the different headings."
SEARCH (BY AI LABEL),,,If I thought the object was something completely different I still clicked to see the label path to see if there was anything similar it might be. If I agreed I would still click to see the path so I could use the correct lable.
TRUST AI PREDICTION(S),SEARCH,,"I used the AI guess if it looked right or i just couldnt tell, otherwise i used the search method"
