THEME I,THEME II,THEME III,Strategy
AI ADVICE 1ST & HUMAN CONFIRM 2ND,TOP PREDICTION FALLACY,,"It almost felt like gambling since the AI classifier either had the correct answer at the top or none at all. I think one round the correct answer was in the bottom half but otherwise I had to try to figure out what was in a double exposed or blurry image myself. In the latter cases, the AI was completely wrong."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,TOP PREDICTION FALLACY,,"I tried to determine if I thought that the AI top choices were reasonable.   If they were reasonable, then I added them to my ""short"" list.  If they weren't reasonable, then I ignored the AI input and focused on my own assessment."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,,,I went through the AI classifier's predictions by hovering. I then chose the image that I felt most closely resembled the photo.
UNINFORMATIVE,,,
UNINFORMATIVE,,,Your AI is next to useless. Sorry.
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,"I looked closely, then examined my options. If I really wasn't sure I then would weigh in on the AI predictions."
SEARCH (BY KEYWORD),AI ADVICE WHEN HARD,,"On the most obvious choices, I typed the word in. On the ones I was not confident or had no idea about, I clicked on the choices on the right and the related choices and went down multiple hierarchies until I found the choice that looked the closet to correct according to the picture."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,TOP PREDICTION FALLACY,AI ADVICE WHEN HARD,I usually tried to figure out what the image was and then I would look at the ai to see what was similar. If I still struggled then I would go for the highest predictor that made the most sense with the original image.
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,SEARCH (BY KEYWORD),,"I first tried to figure out what it was myself.  Then I looked at the AI.  If I saw things that were close to what I thought, I hovered over the text for a picture to confirm it.  If it lined up, I selected that.  If it didn't, I would look in similar categories.  A few times, I did my own keyword search and tried to find pics that looked similar."
AI ADVICE WHEN HARD,,,I used the reference images under the AI's suggestions for items that weren't clear to me.
HUMAN-AI COMPARISON,,,Look at the pictures in the AI suggestions and try to match it if I did not already know what it was.
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,AI ADVICE WHEN HARD,TOP PREDICTION FALLACY,Things I wasn't too sure of like the different birds I let the AI and top rated pick. The ship wreck though I knew it wasn't an animal of any kind
AI ADVICE 1ST & HUMAN CONFIRM 2ND,SEARCH,,I used the A1 classifier's prediction to try to match the image and then I try searching for additional images if the first set of images were not a close match. I then chose what I thought was the most relevant image answer.
AI ADVICE WHEN HARD,,,"Some were too blurry. I picked what was there because I wasn't sure, but in some cases, the correct answer wasn't available."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,SEARCH (BY AI LABEL),AI ADVICE WHEN HARD,If I was unsure of what the image was I used the AI's predictions to get a general idea. From there I would branch off and look at a multitude of different options using the label space. It was a great tool for getting an idea of what certain things looked like if I've never seen them before. After I had seen a few different options I would carefully look at the image to see if I could notice any similarities at all between it and the reference images I could find in the label space.
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,"I went by what I believed it to be first, and then compared it to the AI. If we didn't match, I went a couple times with the AI, but once they were proven wrong, I went by my own guess."
AI ADVICE WHEN HARD,HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,"If iI was not sure what the item was, I looked at the predictions to see which one would possibly match the item."
