THEME I,THEME II,THEME III,Strategy
TRUST AI PREDICTION(S),AI ADVICE 1ST & HUMAN CONFIRM 2ND,,"Since the AI had such a high accuracy rate, I trusted the AI suggestions and went in order of its suggestions from most confident to least confident until I saw the item I agreed with."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,,,I thought the AI was helpful in narrowing down options overall. It was good to see the kinds of insects and animals it had to help narrow down my choices at first.
SEARCH,REPRESENTATIVE IMAGES,,I checked all images that could be possible matches and tried every label underneath to try to find a more exact match.
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,"First I tried to see if I could identify the image myself. If I couldn't, I would go down the list of the AI's predictions to see if I could find anything that looked similar. If I couldn't, I would just go with my best guess."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,"Most of the images seemed to be recognizable myself, but a good portion were unknown, in this case the AI was useful for things I couldn't recognize."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,,,I went with what AI prediction and went through the categories to try to guess what label would be correct. Most of the time AI had a label already displayed for me to click. Some I was not sure on.
HUMAN KNOWLEDGE 1ST& AI ADVICE 2ND,,,I looked at the image and made sense of what I thought things looked like to my knowledge. Then I looked at the AI's answers and hovered over them to see if the image looked similar.
AI ADVICE 1ST & HUMAN CONFIRM 2ND,,,"I looked at the AI predictions to see if there was an obvious answer. If not I typed something that I thought was close to the answer, or chose one of the predictions that I thought was close. Then I searched through the labels until I found what I thought was correct."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,"I guessed at what I thought it was, then checked to see if AI had some suggestions along those lines"
HUMAN-AI COMPARISON,,,"I generally tried to see if my view of the image matched any suggestions by the AI, such as contrasting and comparing different types of areas, etc."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,,,"I went through the list provided and moused over to see the reference image to help me determine what the image was.  It was tough on the images that were not clear, but the AI gave me a direction to go in on most of them."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,SEARCH,,"I looked at the AI classifier's set and then determined if the picture matched one of the items. If I wasn't sure, I would manually search for it."
AI ADVICE 1ST & HUMAN CONFIRM 2ND,,,"I first studied the image against the given label predictions, and then looked at the sample images for the labels I thought might be accurate. I then selected the best choice from those options."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,"I tried to use my own knowledge at first. If it wasn't something I recognized, I tried to come up with a broad category to search for so I could look through the available photos."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,"My strategy was to look at the image and see if I knew or could figure out what it was, and I used the AI predictions to narrow down (eg, going from ""dog"" to ""Dobermann""), or if the image was difficult to see or unfamiliar to me (like the one with the rosehips) I used the AI to guide me in considering possibilities."
HUMAN KNOWLEDGE 1ST & AI ADVICE 2ND,,,I tried to guess the object on my own.  I used the AI suggestions to confirm my own guess.   I also used the AI suggestion if I did not know what the object was at first glance.
